episode,reward,length,time
426,10.416667,11,63.419256
427,10.583333,11,63.606971
428,1.958333,3,63.658237
429,10.5,11,63.839897
430,1.166667,2,63.897237
431,10.291667,11,64.081889
432,9.875,11,64.274612
433,10.791667,11,64.457429
434,9.541667,11,64.639438
435,10.166667,11,64.815585
436,4.875,6,64.920555
437,1.833333,3,64.973718
438,10.25,11,65.152548
439,5.75,7,65.273601
440,9.708333,11,65.454095
441,10.5,11,65.631122
442,5.958333,7,65.752851
443,9.791667,11,65.951926
444,10.25,11,66.162936
445,9.5,11,66.349619
446,9.583333,11,66.523863
447,10.416667,11,66.706922
448,4.75,6,66.812556
449,5.583333,7,66.931075
450,9.583333,11,67.117597
451,10.25,11,67.298107
452,9.125,11,67.481609
453,9.041667,11,67.663718
454,9.875,11,67.842127
455,9.916667,11,68.028795
456,8.333333,10,68.19759
457,6.625,8,68.335876
458,9.083333,11,68.520665
459,10.125,11,68.705875
460,10.375,11,68.896601
461,10.333333,11,69.089984
462,10.0,11,69.275183
463,9.875,11,69.460419
464,10.125,11,69.645583
465,10.208333,11,69.82742
466,10.583333,11,70.012943
467,5.75,7,70.133096
468,9.916667,11,70.323035
469,10.291667,11,70.502058
470,9.958333,11,70.75452
471,10.375,11,70.94362
472,9.708333,11,71.138647
473,10.333333,11,71.340872
474,10.375,11,71.531986
475,10.375,11,71.712695
476,5.666667,7,71.835965
477,10.541667,11,72.024148
478,10.291667,11,72.206057
479,9.666667,11,72.391648
480,7.25,9,72.557781
481,3.875,5,72.645941
482,10.416667,11,72.831934
483,10.416667,11,73.026044
484,10.5,11,73.211154
485,10.25,11,73.394658
486,10.791667,11,73.576572
487,5.75,7,73.705246
488,10.5,11,73.897917
489,10.0,11,74.083666
490,8.541667,10,74.253496
491,9.458333,11,74.443168
492,10.291667,11,74.632181
493,9.708333,11,74.814653
494,9.916667,11,75.019818
495,10.25,11,75.205946
496,9.666667,11,75.393225
497,10.25,11,75.586324
498,6.708333,8,75.726303
499,5.708333,7,75.857778
500,9.625,11,76.051745
501,10.25,11,76.236532
502,9.625,11,76.424875
503,10.291667,11,76.611579
504,9.916667,11,76.805237
505,9.541667,11,76.997329
506,1.958333,3,77.052856
507,5.75,7,77.176391
508,7.5,9,77.335715
509,9.291667,11,77.522381
510,7.208333,9,77.683598
511,10.416667,11,77.874893
512,10.375,11,78.062411
513,9.333333,11,78.254185
514,6.833333,8,78.395488
515,5.791667,7,78.539925
516,10.5,11,78.727712
517,9.583333,11,78.944429
518,9.416667,11,79.128608
519,6.708333,8,79.275275
520,5.708333,7,79.401094
521,8.208333,10,79.583195
522,10.416667,11,79.772416
523,10.166667,11,79.963262
524,9.833333,11,80.148982
525,10.875,11,80.335862
526,9.958333,11,80.52026
527,1.833333,3,80.575948
528,5.083333,6,80.688358
529,10.541667,11,80.877359
530,10.166667,11,81.064993
531,9.833333,11,81.252058
532,9.333333,11,81.442811
533,10.583333,11,81.631257
534,10.041667,11,81.875648
535,9.0,11,82.058902
536,9.583333,11,82.241127
537,10.375,11,82.425531
538,10.458333,11,82.613337
539,8.833333,11,82.79541
540,9.916667,11,82.982447
541,9.541667,11,83.171569
542,6.541667,8,83.309144
543,10.208333,11,83.493323
544,7.416667,9,83.648052
545,9.5,11,83.841064
546,9.875,11,84.029704
547,9.666667,11,84.223172
548,9.666667,11,84.412135
549,10.083333,11,84.606437
550,9.791667,11,84.80097
551,9.708333,11,85.013101
552,9.708333,11,85.200698
553,10.25,11,85.391955
554,9.958333,11,85.581697
555,9.583333,11,85.773438
556,8.791667,11,85.978485
557,9.75,11,86.167468
558,9.125,11,86.367129
559,9.833333,11,86.567338
